               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.033791,            0.015974,           0.0054314,             0.85793,             0.80869,             0.90223,             0.54063,            0.035003,            0.014446,           0.0073286,             0.00505,             0.00505,             0.00505
                  52,            0.035096,             0.01553,           0.0051195,               0.865,             0.91401,             0.94435,             0.58537,            0.034234,            0.014266,           0.0058503,            0.004951,            0.004951,            0.004951
                  53,             0.03447,            0.016655,           0.0049026,             0.85633,             0.92384,             0.94537,             0.54565,            0.034327,            0.014394,           0.0066133,            0.004852,            0.004852,            0.004852
                  54,            0.033042,            0.015177,             0.00498,             0.86904,             0.92281,             0.93326,             0.58152,            0.035589,            0.014391,           0.0067135,            0.004753,            0.004753,            0.004753
                  55,              0.0329,            0.015444,           0.0060462,             0.85499,             0.89966,             0.94537,             0.57214,            0.034086,            0.014735,           0.0069085,            0.004654,            0.004654,            0.004654
                  56,            0.033529,            0.015678,           0.0049666,             0.84831,             0.87467,             0.92097,             0.57427,            0.034508,            0.014448,           0.0067814,            0.004555,            0.004555,            0.004555
                  57,            0.032598,            0.015213,           0.0042502,             0.85382,             0.88981,             0.90834,             0.54701,            0.032802,            0.014205,           0.0066425,            0.004456,            0.004456,            0.004456
                  58,            0.033098,            0.015802,           0.0049845,             0.86783,             0.87578,             0.92279,              0.5955,            0.033456,            0.014296,           0.0053672,            0.004357,            0.004357,            0.004357
                  59,            0.032755,            0.014707,            0.005378,             0.87643,              0.9093,             0.92606,             0.57982,            0.033617,            0.014485,           0.0060901,            0.004258,            0.004258,            0.004258
                  60,            0.032958,            0.014989,           0.0048397,             0.86409,             0.91791,             0.91792,             0.56397,            0.032397,            0.014323,           0.0064426,            0.004159,            0.004159,            0.004159
                  61,            0.032084,            0.015049,           0.0048101,             0.86698,             0.90583,             0.92407,             0.56975,            0.034609,            0.014825,           0.0065919,             0.00406,             0.00406,             0.00406
                  62,            0.032664,             0.01575,            0.004834,             0.86888,             0.89593,               0.924,             0.58172,            0.032379,            0.014719,           0.0068812,            0.003961,            0.003961,            0.003961
                  63,            0.030094,             0.01481,           0.0037593,             0.87572,             0.90266,             0.90991,              0.5687,            0.032135,            0.014678,           0.0062222,            0.003862,            0.003862,            0.003862
                  64,            0.031223,             0.01522,           0.0044375,             0.88249,             0.90791,             0.92142,             0.58959,            0.032185,            0.014171,           0.0049635,            0.003763,            0.003763,            0.003763
                  65,             0.03005,            0.013977,            0.004348,              0.8606,             0.91757,             0.91476,             0.55801,            0.033618,            0.014238,           0.0057824,            0.003664,            0.003664,            0.003664
                  66,            0.031325,            0.014263,           0.0042451,             0.85636,             0.92331,             0.90666,              0.5473,            0.031035,            0.014173,           0.0058317,            0.003565,            0.003565,            0.003565
                  67,            0.029918,            0.014637,           0.0049317,             0.86537,             0.92174,             0.90587,             0.55283,            0.032189,            0.014264,           0.0055609,            0.003466,            0.003466,            0.003466
                  68,            0.030048,            0.014515,           0.0042343,             0.86588,             0.91053,             0.90296,             0.58047,            0.031964,            0.014335,           0.0059541,            0.003367,            0.003367,            0.003367
