               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.023524,            0.010455,           0.0014233,              0.9801,              0.9785,             0.99101,             0.71699,            0.020902,            0.010645,          0.00074853,            0.003961,            0.003961,            0.003961
                  63,            0.023379,            0.010467,           0.0013548,              0.9869,             0.98277,             0.99168,             0.72149,            0.020807,            0.010494,          0.00078414,            0.003862,            0.003862,            0.003862
                  64,            0.022915,            0.010063,           0.0011095,             0.97318,             0.98438,             0.99297,             0.71733,            0.020423,            0.010485,          0.00069643,            0.003763,            0.003763,            0.003763
                  65,            0.023377,             0.01028,           0.0011379,             0.98004,             0.98524,             0.99194,             0.73255,            0.020643,            0.010507,          0.00070012,            0.003664,            0.003664,            0.003664
                  66,            0.022745,            0.010416,            0.001207,             0.98203,             0.98294,             0.99177,             0.72642,             0.02028,            0.010455,          0.00073065,            0.003565,            0.003565,            0.003565
                  67,            0.023093,           0.0099636,           0.0011768,             0.97765,             0.98048,             0.99218,             0.72963,            0.020298,            0.010445,          0.00074648,            0.003466,            0.003466,            0.003466
                  68,            0.022335,            0.010118,            0.001069,             0.97779,             0.97806,             0.99216,             0.73155,            0.020038,             0.01037,          0.00067318,            0.003367,            0.003367,            0.003367
                  69,            0.022342,            0.010106,           0.0012854,             0.97972,             0.98178,             0.99232,             0.72918,            0.020042,            0.010366,          0.00072308,            0.003268,            0.003268,            0.003268
                  70,            0.023056,            0.010401,           0.0012233,             0.98438,              0.9839,             0.99171,             0.72948,            0.020113,            0.010382,          0.00070928,            0.003169,            0.003169,            0.003169
                  71,            0.022414,           0.0099688,            0.001142,             0.98506,             0.98625,             0.99267,             0.73887,            0.019906,            0.010329,          0.00064765,             0.00307,             0.00307,             0.00307
                  72,            0.022452,           0.0099011,           0.0011049,             0.98234,             0.99042,             0.99355,             0.73796,            0.020145,            0.010353,          0.00066049,            0.002971,            0.002971,            0.002971
